Country_Name,Country_Code,Population,GDP,Continent
Pakistan,PAK,251269164,1484.749859,Asia
Panama,PAN,4515577,19102.85219,North America
Peru,PER,34217848,8452.37167,South America
Philippines,PHL,115843670,3984.831539,Asia
Palau,PLW,17695,0,Oceania
Papua New Guinea,PNG,10576502,3076.487862,Oceania
Poland,POL,36554707,25022.67164,Europe
"Korea, Dem. People's Rep.",PRK,26498823,0,Asia
Portugal,PRT,10701636,28844.49792,Europe
Paraguay,PRY,6929153,6416.09709,South America
Qatar,QAT,2857822,76275.90768,Asia
Romania,ROU,19069340,20072.40792,Europe
Russian Federation,RUS,143533851,14889.01855,Europe
Rwanda,RWA,14256567,999.6545614,Africa
Saudi Arabia,SAU,35300280,35057.22523,Asia
Sudan,SDN,50448963,989.3128662,Africa
Senegal,SEN,18501984,1743.988884,Africa
Singapore,SGP,6036860,90674.06663,Asia
Solomon Islands,SLB,819198,2149.379573,Oceania
Sierra Leone,SLE,8642022,873.3885752,Africa
El Salvador,SLV,6338193,5579.659692,North America
San Marino,SMR,33977,0,Europe
"Somalia, Fed. Rep.",SOM,19009151,636.9834776,Africa
Serbia,SRB,6587202,13523.72468,Europe
South Sudan,SSD,11943408,0,Africa
Sao Tome and Principe,STP,235536,3244.828997,Africa
Suriname,SUR,634431,7430.702192,South America
Slovak Republic,SVK,5422069,26147.90284,Europe
Slovenia,SVN,2126324,34089.35277,Europe
Sweden,SWE,10569709,57723.2345,Europe
Eswatini,SWZ,1242822,3936.109692,Africa
Seychelles,SYC,121354,17858.82264,Africa
Syrian Arab Republic,SYR,24672760,0,Asia
Chad,TCD,20299123,1016.088807,Africa
Togo,TGO,9515236,1043.140929,Africa
Thailand,THA,71668011,7345.13569,Asia
Tajikistan,TJK,10590927,1341.20229,Asia
Turkmenistan,TKM,7494498,8571.607029,Asia
Timor-Leste,TL,1400638,1343.14886,Asia
Tonga,TON,104175,0,Oceania
Trinidad and Tobago,TTO,1368333,19314.71634,North America
Tunisia,TUN,12277109,4350.371797,Africa
Turkiye,TUR,85518661,15473.28726,Asia
Tuvalu,TUV,9646,0,Oceania
Tanzania,TZA,68560157,1185.745483,Africa
Uganda,UGA,50015092,1072.713698,Africa
Ukraine,UKR,37860221,5389.473145,Europe
Uruguay,URY,3386588,23906.5133,South America
United States,USA,340110988,85809.90038,North America
Uzbekistan,UZB,36361859,3161.700106,Asia
St. Vincent and the Grenadines,VCT,100616,11501.22652,North America
"Venezuela, RB",VEN,28405543,0,South America
Viet Nam,VNM,100987686,4717.290287,Asia
Vanuatu,VUT,327777,3542.810716,Oceania
Samoa,WSM,218019,4898.771408,Oceania
"Yemen, Rep.",YEM,40583164,0,Asia
South Africa,ZAF,64007187,6253.371582,Africa
Zambia,ZMB,21314956,1235.084665,Africa
Zimbabwe,ZWE,16634373,2656.409377,Africa
